data_sizes,accuracy,most_frequent_sense
0.75,0.62,"['3', 0.7142857142857143]"
0.5,0.7,"['3', 0.6956521739130435]"
0.25,0.69,"['3', 0.4166666666666667]"
0.0,0.35,"['2', 0.25]"
