data_sizes,accuracy,most_frequent_sense
0.75,0.55,"['1', 0.6842105263157895]"
0.5,0.53,"['1', 0.56]"
0.25,0.58,"['1', 0.7692307692307693]"
0.0,0.31,"['1', 0.3333333333333333]"
